Point, Degrees N, Degrees E, Easterly, Northerly
P_25, 51.590190, 3.025309, 501753.3, 5715460.5
P_26, 51.593780, 3.024831, 501720.0, 5715858.6
P_27, 51.598990, 3.024168, 501673.9, 5716438.6
P_28, 51.605230, 3.023953, 501658.8, 5717132.6
P_29, 51.613690, 3.024337, 501685.1, 5718073.0
P_30, 51.624080, 3.026175, 501812.0, 5719229.4
P_31, 51.698160, 3.048502, 503352.1, 5727468.4
P_32, 51.697260, 3.050440, 503486.1, 5727368.4
P_33, 51.696480, 3.051523, 503561.0, 5727281.4
P_34, 51.695860, 3.052854, 503653.0, 5727212.7
P_35, 51.695430, 3.054370, 503757.8, 5727165.7
P_36, 51.693380, 3.058786, 504063.2, 5726937.9
P_38, 51.677400, 3.113293, 507833.4, 5725165.1
P_39, 51.671600, 3.122580, 508476.6, 5724520.4
WFZ_1, 51.602300, 3.102329, 507087.1, 5716811.7
WFZ_2, 51.570270, 3.058286, 504039.6, 5713246.1
